mnemonic,dataset,category,description,frequency,last_updated
FPF-STRATEGY_MACRO_GROSSRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_NETRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MACRO_NETRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_BORROWING_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_BORROWING_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_CASHRATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_CASHRATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_COUNT,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_GAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_GAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_GNE_CHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_GNE_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_GNE_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_GROSSRETURN_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_GROSSRETURN_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_LEVERAGERATIO_GAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_LEVERAGERATIO_NAVWMEAN,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_NAV_PCTCHANGE,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_NAV_SUM,fpf,,,,2026-04-09
FPF-STRATEGY_MULTI_NETRETURN_GAVWMEAN,fpf,,,,2026-04-09
